Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE,Test MAPE,CV R² Mean,CV R² Std,Training Time (s),N Features
MLP,0.8245577208253758,0.8161487604194354,0.08334414679395831,0.0836815530045338,0.06560626628251658,0.06590125976542498,757196812357646.8,0.8179619031993901,0.005041610821663908,0.8303570747375488,7
SVR,0.8238951470377958,0.8045973979357786,0.08350137687582454,0.0862703622425411,0.06814755047298954,0.06936062358851722,801458456050819.4,0.8060254449834332,0.004966808972615789,35.07673716545105,7
Ridge Regression,0.7995392246257433,0.7936133549871351,0.08908871147788897,0.08866194328896161,0.070276945047582,0.07035076945210825,869838279888244.0,0.7993018565075657,0.0055452968669320495,0.0014452934265136719,7
Linear Regression,0.7995393872711607,0.7935989763425755,0.08908867533647036,0.08866503170673494,0.07027891111074411,0.07035558851129269,869369437340214.5,0.7993013989122056,0.005551986819911233,0.002292156219482422,7
ElasticNet,0.7968304984029257,0.791110635034934,0.08968859739409102,0.08919789697054707,0.07041160821581498,0.07038340947808754,911949946941754.8,0.7966451715821731,0.005818092976062305,0.003532886505126953,7
Lasso Regression,0.7942428161414407,0.7892345543334905,0.09025795270135058,0.0895975544550028,0.07050274266503606,0.07029125174493299,951892360371265.0,0.7940521600477473,0.005670065137314776,0.003732919692993164,7
Random Forest,0.954545264332893,0.7866006004737305,0.04242262548491675,0.09015567032663542,0.031796954621609703,0.06978245934535629,779512672391662.9,0.7942312451109287,0.00602934033820497,0.6726479530334473,7
Decision Tree,0.8956297620456372,0.7493563452937745,0.06428302590412455,0.0977068039600012,0.0487233952804952,0.07484157815309495,813445348693958.2,0.7492843899965409,0.008105922779458033,0.021879911422729492,7
