Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE,Test MAPE,CV R² Mean,CV R² Std,Training Time (s)
MLP,0.8309180659646257,0.812851323765728,0.08181945420523838,0.08442864708726684,0.06405719130354279,0.06607542817369956,737144941317153.6,0.816391388949367,0.004719655396691028,2.123325824737549
Random Forest,0.9702063980682792,0.8063870732313564,0.03434547128945245,0.08587438212917818,0.026604213167126127,0.06747665997204079,761928795490567.6,0.8070038466048148,0.005227428363827661,0.7537169456481934
Ridge Regression,0.8006805174349177,0.7949305238542846,0.08883474299285944,0.08837856817874332,0.07011365143160785,0.06995545107606427,864651091392390.9,0.8003503799532904,0.0054367287502709435,0.002318143844604492
Linear Regression,0.8006806822532261,0.7949169426275087,0.08883470626389821,0.08838149467352634,0.07011525137460083,0.06996062004560114,864195403389355.4,0.8003496401204518,0.005444707813594273,0.003657102584838867
ElasticNet,0.7974932323947828,0.7918833869291795,0.08954219689197788,0.08903275761830885,0.07033681090888484,0.07015590212596515,907955711970243.8,0.7972782102286933,0.005528316463381025,0.0043582916259765625
Lasso Regression,0.7947839581152454,0.7898702758567755,0.0901391852251689,0.08946232804430876,0.07043502845972235,0.07012245086907752,949200563334245.2,0.7945636399403939,0.005493910088904987,0.0056819915771484375
SVR,0.8359218273144384,0.7862272830593047,0.08059969159832293,0.09023449429489858,0.0667059540320081,0.07255867155963061,772308376752037.2,0.7876822900531477,0.005831770089098942,70.7667829990387
Decision Tree,0.9154956915050874,0.7375059272227897,0.05784254602411997,0.09998991539954405,0.043098191409472554,0.0770106546954302,711426912882351.0,0.7258259257728733,0.006375114804718849,0.030516862869262695
